symbol,exchange,date,open,high,low,close,volume
AAPL,XNAS,2025-05-15T00:00:00+00:00,210.95,212.96,209.54,211.45,45029473
AAPL,XNAS,2025-05-16T00:00:00+00:00,212.36,212.57,209.77,211.26,54737850
AAPL,XNAS,2025-05-19T00:00:00+00:00,207.91,209.48,204.26,208.78,46140527
AAPL,XNAS,2025-05-20T00:00:00+00:00,207.67,208.47,205.03,206.86,42496635
AAPL,XNAS,2025-05-21T00:00:00+00:00,205.17,207.04,200.71,202.09,59211774
AAPL,XNAS,2025-05-22T00:00:00+00:00,200.71,202.75,199.7,201.36,46742407
AAPL,XNAS,2025-05-23T00:00:00+00:00,193.665,197.7,193.46,195.27,78432918
AAPL,XNAS,2025-05-27T00:00:00+00:00,198.3,200.74,197.43,200.21,56288475
AAPL,XNAS,2025-05-28T00:00:00+00:00,200.59,202.73,199.9,200.42,45339678
AAPL,XNAS,2025-05-29T00:00:00+00:00,203.575,203.81,198.51,199.95,51477938
AAPL,XNAS,2025-05-30T00:00:00+00:00,199.37,201.96,196.78,200.85,70819942
AAPL,XNAS,2025-06-02T00:00:00+00:00,200.28,202.13,200.12,201.7,35423294
AAPL,XNAS,2025-06-03T00:00:00+00:00,201.35,203.77,200.955,203.27,46381567
AAPL,XNAS,2025-06-04T00:00:00+00:00,202.91,206.24,202.1,202.82,43603985
AAPL,XNAS,2025-06-05T00:00:00+00:00,203.5,204.75,200.15,200.63,55221235
AAPL,XNAS,2025-06-06T00:00:00+00:00,203.0,205.7,202.05,203.92,46607693
AAPL,XNAS,2025-06-09T00:00:00+00:00,204.39,206.0,200.02,201.45,72862557
AAPL,XNAS,2025-06-10T00:00:00+00:00,200.6,204.35,200.57,202.67,54672608
AAPL,XNAS,2025-06-11T00:00:00+00:00,203.5,204.5,198.41,198.78,60989857
AAPL,XNAS,2025-06-12T00:00:00+00:00,199.08,199.68,197.3601,199.2,43904635
AAPL,XNAS,2025-06-13T00:00:00+00:00,199.73,200.37,195.7,196.45,51447349
AAPL,XNAS,2025-06-16T00:00:00+00:00,197.3,198.685,196.5636,198.42,43020691
AAPL,XNAS,2025-06-17T00:00:00+00:00,197.2,198.39,195.21,195.64,38856152
AAPL,XNAS,2025-06-18T00:00:00+00:00,195.94,197.57,195.07,196.58,45394689
AAPL,XNAS,2025-06-20T00:00:00+00:00,198.235,201.7,196.855,201.0,96813542
AAPL,XNAS,2025-06-23T00:00:00+00:00,201.625,202.3,198.96,201.5,55814272
AAPL,XNAS,2025-06-24T00:00:00+00:00,202.59,203.44,200.2,200.3,54064033
AAPL,XNAS,2025-06-25T00:00:00+00:00,201.45,203.67,200.6201,201.56,39525730
AAPL,XNAS,2025-06-26T00:00:00+00:00,201.43,202.64,199.46,201.0,50799121
AAPL,XNAS,2025-06-27T00:00:00+00:00,201.89,203.22,200.0,201.08,73188571
AAPL,XNAS,2025-06-30T00:00:00+00:00,202.01,207.39,199.2607,205.17,91912816
AAPL,XNAS,2025-07-01T00:00:00+00:00,206.665,210.1865,206.1401,207.82,78788867
AAPL,XNAS,2025-07-02T00:00:00+00:00,208.91,213.34,208.14,212.44,67941811
AAPL,XNAS,2025-07-03T00:00:00+00:00,212.145,214.65,211.8101,213.55,34955836
AAPL,XNAS,2025-07-07T00:00:00+00:00,212.68,216.23,208.8,209.95,50228984
AAPL,XNAS,2025-07-08T00:00:00+00:00,210.1,211.43,208.45,210.01,42848928
AAPL,XNAS,2025-07-09T00:00:00+00:00,209.53,211.33,207.22,211.14,48749367
AAPL,XNAS,2025-07-10T00:00:00+00:00,210.505,213.48,210.03,212.41,44443635
AAPL,XNAS,2025-07-11T00:00:00+00:00,210.565,212.13,209.86,211.16,39765812
AAPL,XNAS,2025-07-14T00:00:00+00:00,209.925,210.91,207.54,208.62,38840111
AAPL,XNAS,2025-07-15T00:00:00+00:00,209.22,211.89,208.92,209.11,42296339
AAPL,XNAS,2025-07-16T00:00:00+00:00,210.295,212.4,208.64,210.16,47490532
AAPL,XNAS,2025-07-17T00:00:00+00:00,210.57,211.8,209.59,210.02,48068141
