symbol_id,dt,open,high,low,close,volume
1,2024-01-02,186.032,187.316,182.788,184.532,82983926
2,2024-01-02,371.085,373.109,364.049,368.116,25447513
3,2024-01-02,138.05,138.946,135.987,137.671,23797175
4,2024-01-02,151.54,152.38,148.39,149.93,47339424
5,2024-01-02,250.08,251.25,244.41,248.42,104654163
6,2024-01-02,351.32,353.16,340.01,346.29,19042152
7,2024-01-02,49.2301,49.2811,47.5815,48.1543,411370819
8,2024-01-02,483.185,484.65,461.86,468.5,5049423
9,2024-01-02,589.51,590.44,576.755,580.07,2840192
10,2024-01-02,260.54,260.56,253.77,256.13,4741418
11,2024-01-02,61.22,62.1599,60.43,61.46,15248446
12,2024-01-02,49.2,49.38,47.4527,47.8,45905728
13,2024-01-02,144.28,144.4,137.43,138.58,64902029
14,2024-01-02,104.52,104.68,102.44,104.06,9597500
15,2024-01-02,50.49,50.86,50.25,50.51,20242939
16,2024-01-02,142.19,142.195,138.781,140.23,8495776
17,2024-01-02,169.09,172.17,168.91,172.08,9977424
18,2024-01-02,33.39,34.07,33.27,33.9,36668634
19,2024-01-02,52.4167,53.1783,52.3967,53.0967,23539677
20,2024-01-02,156.93,161.6393,156.79,159.97,9622108
21,2024-01-02,146.36,149.41,146.31,148.74,7238388
22,2024-01-02,512.87,525.351,512.704,525.039,3508694
23,2024-01-02,344.21,347.3013,343.22,345.08,2833794
24,2024-01-02,90.1,91.475,89.7304,90.71,10587634
25,2024-01-02,257.207,257.682,255.285,256.475,5522080
26,2024-01-02,424.09,424.28,419.56,421.89,2463746
27,2024-01-02,28.88,30.2788,28.83,29.73,57948706
28,2024-01-02,154.9,160.14,154.7704,159.82,8059876
29,2024-01-02,58.8,59.88,58.67,59.82,16322593
30,2024-01-02,169.52,172.99,169.19,172.91,5743112
31,2024-01-02,529.56,546.1,527.37,544.15,2310861
32,2024-01-02,108.05,109.027,106.563,107.383,29141274
33,2024-01-02,655.58,657.8,649.5,650.65,2657689
34,2024-01-02,106.259,110.309,106.259,110.232,12245502
