ts,order_id,symbol_id,side,quantity,type,tif,limit_price,state
2022-01-03T21:00:00Z,index_buy_AAPL,1,BUY,100,MKT,DAY,,NEW
2023-01-03T21:00:00Z,index_sell_AAPL,1,SELL,100,MKT,DAY,,NEW
2023-01-03T21:00:00Z,index_rebalance_AAPL,1,BUY,100,MKT,DAY,,NEW
2023-01-03T21:00:00Z,index_sell_MSFT,2,SELL,100,MKT,DAY,,NEW
2023-01-03T21:00:00Z,index_rebalance_MSFT,2,BUY,100,MKT,DAY,,NEW
2023-01-03T21:00:00Z,index_sell_GOOGL,3,SELL,100,MKT,DAY,,NEW
2023-01-03T21:00:00Z,index_rebalance_GOOGL,3,BUY,100,MKT,DAY,,NEW
2023-01-03T21:00:00Z,index_sell_AMZN,4,SELL,100,MKT,DAY,,NEW
2023-01-03T21:00:00Z,index_rebalance_AMZN,4,BUY,100,MKT,DAY,,NEW
2023-01-03T21:00:00Z,index_sell_TSLA,5,SELL,100,MKT,DAY,,NEW
2023-01-03T21:00:00Z,index_rebalance_TSLA,5,BUY,100,MKT,DAY,,NEW
2023-01-03T21:00:00Z,index_sell_META,6,SELL,100,MKT,DAY,,NEW
2023-01-03T21:00:00Z,index_rebalance_META,6,BUY,100,MKT,DAY,,NEW
2023-01-03T21:00:00Z,index_sell_NVDA,7,SELL,100,MKT,DAY,,NEW
2023-01-03T21:00:00Z,index_rebalance_NVDA,7,BUY,100,MKT,DAY,,NEW
2023-01-03T21:00:00Z,index_sell_NFLX,8,SELL,100,MKT,DAY,,NEW
2023-01-03T21:00:00Z,index_rebalance_NFLX,8,BUY,100,MKT,DAY,,NEW
2023-01-03T21:00:00Z,index_sell_ADBE,9,SELL,100,MKT,DAY,,NEW
2023-01-03T21:00:00Z,index_rebalance_ADBE,9,BUY,100,MKT,DAY,,NEW
2023-01-03T21:00:00Z,index_sell_CRM,10,SELL,100,MKT,DAY,,NEW
2023-01-03T21:00:00Z,index_rebalance_CRM,10,BUY,100,MKT,DAY,,NEW
2024-01-03T21:00:00Z,index_sell_AAPL,1,SELL,100,MKT,DAY,,NEW
2024-01-03T21:00:00Z,index_rebalance_AAPL,1,BUY,100,MKT,DAY,,NEW
2024-01-03T21:00:00Z,index_sell_MSFT,2,SELL,100,MKT,DAY,,NEW
2024-01-03T21:00:00Z,index_rebalance_MSFT,2,BUY,100,MKT,DAY,,NEW
2024-01-03T21:00:00Z,index_sell_GOOGL,3,SELL,100,MKT,DAY,,NEW
2024-01-03T21:00:00Z,index_rebalance_GOOGL,3,BUY,100,MKT,DAY,,NEW
2024-01-03T21:00:00Z,index_sell_AMZN,4,SELL,100,MKT,DAY,,NEW
2024-01-03T21:00:00Z,index_rebalance_AMZN,4,BUY,100,MKT,DAY,,NEW
2024-01-03T21:00:00Z,index_sell_TSLA,5,SELL,100,MKT,DAY,,NEW
2024-01-03T21:00:00Z,index_rebalance_TSLA,5,BUY,100,MKT,DAY,,NEW
2024-01-03T21:00:00Z,index_sell_META,6,SELL,100,MKT,DAY,,NEW
2024-01-03T21:00:00Z,index_rebalance_META,6,BUY,100,MKT,DAY,,NEW
2024-01-03T21:00:00Z,index_sell_NVDA,7,SELL,100,MKT,DAY,,NEW
2024-01-03T21:00:00Z,index_rebalance_NVDA,7,BUY,100,MKT,DAY,,NEW
2024-01-03T21:00:00Z,index_sell_NFLX,8,SELL,100,MKT,DAY,,NEW
2024-01-03T21:00:00Z,index_rebalance_NFLX,8,BUY,100,MKT,DAY,,NEW
2024-01-03T21:00:00Z,index_sell_ADBE,9,SELL,100,MKT,DAY,,NEW
2024-01-03T21:00:00Z,index_rebalance_ADBE,9,BUY,100,MKT,DAY,,NEW
2024-01-03T21:00:00Z,index_sell_CRM,10,SELL,100,MKT,DAY,,NEW
2024-01-03T21:00:00Z,index_rebalance_CRM,10,BUY,100,MKT,DAY,,NEW
