ts,order_id,symbol_id,side,quantity,type,tif,limit_price,state
2022-01-03T21:00:00Z,random_sell_ADBE,9,SELL,100,MKT,DAY,,NEW
2022-01-03T21:00:00Z,random_sell_CRM,10,SELL,100,MKT,DAY,,NEW
2022-01-03T21:00:00Z,random_sell_BAC,18,SELL,100,MKT,DAY,,NEW
2022-01-03T21:00:00Z,random_sell_AVGO,32,SELL,100,MKT,DAY,,NEW
2022-01-03T21:00:00Z,random_buy_COST,33,BUY,100,MKT,DAY,,NEW
2022-01-13T21:00:00Z,random_close_BAC,18,BUY,100,MKT,DAY,,NEW
2022-01-13T21:00:00Z,random_buy_V,25,BUY,100,MKT,DAY,,NEW
2022-01-24T21:00:00Z,random_close_ADBE,9,BUY,100,MKT,DAY,,NEW
2022-01-25T21:00:00Z,random_sell_META,6,SELL,100,MKT,DAY,,NEW
2022-02-11T21:00:00Z,random_close_COST,33,SELL,100,MKT,DAY,,NEW
2022-02-14T21:00:00Z,random_close_CRM,10,BUY,100,MKT,DAY,,NEW
2022-02-15T21:00:00Z,random_buy_QCOM,16,BUY,100,MKT,DAY,,NEW
2022-02-15T21:00:00Z,random_buy_KO,29,BUY,100,MKT,DAY,,NEW
2022-02-16T21:00:00Z,random_close_QCOM,16,SELL,100,MKT,DAY,,NEW
2022-02-16T21:00:00Z,random_buy_BAC,18,BUY,100,MKT,DAY,,NEW
2022-02-18T21:00:00Z,random_close_V,25,SELL,100,MKT,DAY,,NEW
2022-02-23T21:00:00Z,random_buy_NFLX,8,BUY,100,MKT,DAY,,NEW
2022-02-24T21:00:00Z,random_close_KO,29,SELL,100,MKT,DAY,,NEW
2022-02-24T21:00:00Z,random_buy_ABT,35,BUY,100,MKT,DAY,,NEW
2022-03-02T21:00:00Z,random_close_AVGO,32,BUY,100,MKT,DAY,,NEW
2022-03-03T21:00:00Z,random_buy_TSLA,5,BUY,100,MKT,DAY,,NEW
2022-03-03T21:00:00Z,random_close_META,6,BUY,100,MKT,DAY,,NEW
2022-03-03T21:00:00Z,random_buy_ADBE,9,BUY,100,MKT,DAY,,NEW
2022-03-14T20:00:00Z,random_close_ADBE,9,SELL,100,MKT,DAY,,NEW
2022-03-14T20:00:00Z,random_sell_MA,26,SELL,100,MKT,DAY,,NEW
2022-03-15T20:00:00Z,random_close_NFLX,8,SELL,100,MKT,DAY,,NEW
2022-03-15T20:00:00Z,random_sell_DIS,24,SELL,100,MKT,DAY,,NEW
2022-03-18T20:00:00Z,random_close_MA,26,BUY,100,MKT,DAY,,NEW
2022-03-18T20:00:00Z,random_buy_AVGO,32,BUY,100,MKT,DAY,,NEW
2022-03-30T20:00:00Z,random_close_TSLA,5,SELL,100,MKT,DAY,,NEW
2022-03-30T20:00:00Z,random_sell_QCOM,16,SELL,100,MKT,DAY,,NEW
2022-03-31T20:00:00Z,random_close_DIS,24,BUY,100,MKT,DAY,,NEW
2022-03-31T20:00:00Z,random_buy_PFE,27,BUY,100,MKT,DAY,,NEW
2022-04-01T20:00:00Z,random_close_BAC,18,SELL,100,MKT,DAY,,NEW
2022-04-01T20:00:00Z,random_sell_V,25,SELL,100,MKT,DAY,,NEW
2022-04-06T20:00:00Z,random_close_ABT,35,SELL,100,MKT,DAY,,NEW
2022-04-07T20:00:00Z,random_sell_JPM,17,SELL,100,MKT,DAY,,NEW
2022-04-11T20:00:00Z,random_close_QCOM,16,BUY,100,MKT,DAY,,NEW
2022-04-11T20:00:00Z,random_buy_JNJ,20,BUY,100,MKT,DAY,,NEW
2022-04-25T20:00:00Z,random_close_JNJ,20,SELL,100,MKT,DAY,,NEW
2022-04-25T20:00:00Z,random_buy_HD,23,BUY,100,MKT,DAY,,NEW
2022-04-27T20:00:00Z,random_close_PFE,27,SELL,100,MKT,DAY,,NEW
2022-04-28T20:00:00Z,random_buy_AMD,13,BUY,100,MKT,DAY,,NEW
2022-04-29T20:00:00Z,random_close_AVGO,32,SELL,100,MKT,DAY,,NEW
2022-05-03T20:00:00Z,random_buy_NFLX,8,BUY,100,MKT,DAY,,NEW
2022-05-04T20:00:00Z,random_close_JPM,17,BUY,100,MKT,DAY,,NEW
2022-05-04T20:00:00Z,random_sell_WMT,19,SELL,100,MKT,DAY,,NEW
2022-05-12T20:00:00Z,random_close_HD,23,SELL,100,MKT,DAY,,NEW
2022-05-13T20:00:00Z,random_buy_META,6,BUY,100,MKT,DAY,,NEW
2022-05-13T20:00:00Z,random_close_NFLX,8,SELL,100,MKT,DAY,,NEW
2022-05-13T20:00:00Z,random_buy_PG,21,BUY,100,MKT,DAY,,NEW
2022-05-17T20:00:00Z,random_close_WMT,19,BUY,100,MKT,DAY,,NEW
2022-05-17T20:00:00Z,random_close_PG,21,SELL,100,MKT,DAY,,NEW
2022-05-17T20:00:00Z,random_buy_DIS,24,BUY,100,MKT,DAY,,NEW
2022-05-18T20:00:00Z,random_buy_MA,26,BUY,100,MKT,DAY,,NEW
2022-05-26T20:00:00Z,random_close_V,25,BUY,100,MKT,DAY,,NEW
2022-05-27T20:00:00Z,random_close_AMD,13,SELL,100,MKT,DAY,,NEW
2022-05-27T20:00:00Z,random_sell_WMT,19,SELL,100,MKT,DAY,,NEW
2022-05-31T20:00:00Z,random_sell_NFLX,8,SELL,100,MKT,DAY,,NEW
2022-06-09T20:00:00Z,random_close_WMT,19,BUY,100,MKT,DAY,,NEW
2022-06-10T20:00:00Z,random_sell_AMD,13,SELL,100,MKT,DAY,,NEW
2022-06-27T20:00:00Z,random_close_META,6,SELL,100,MKT,DAY,,NEW
2022-06-27T20:00:00Z,random_sell_INTC,12,SELL,100,MKT,DAY,,NEW
2022-07-01T20:00:00Z,random_close_INTC,12,BUY,100,MKT,DAY,,NEW
2022-07-05T20:00:00Z,random_buy_QCOM,16,BUY,100,MKT,DAY,,NEW
2022-07-13T20:00:00Z,random_close_AMD,13,BUY,100,MKT,DAY,,NEW
2022-07-13T20:00:00Z,random_close_MA,26,SELL,100,MKT,DAY,,NEW
2022-07-13T20:00:00Z,random_buy_PFE,27,BUY,100,MKT,DAY,,NEW
2022-07-14T20:00:00Z,random_sell_PYPL,11,SELL,100,MKT,DAY,,NEW
2022-07-15T20:00:00Z,random_close_PYPL,11,BUY,100,MKT,DAY,,NEW
2022-07-15T20:00:00Z,random_buy_WMT,19,BUY,100,MKT,DAY,,NEW
